Airport Name,Latitude,Longitude
Tarpura Airfield,27.7299118N,75.24085999E
Tawang AFS,27.58869934N,91.87774658E
Tezpur AFS (TEZ/VETZ),26.70549774N,92.77959442E
Tezpur Helipad,26.6570282N,92.78842926E
Tezu Airport (TEI/VETJ),27.94120026N,96.13439941E
Thane West Helipad,19.23908615N,72.98768616E
Thanjavur AFS (TJV/VOTJ),10.72113514N,79.10292816E
Thanjavur Helipad,10.75276184N,79.1114502E
Thoise Airport,34.65259933N,77.37580109E
Thuampui Helipad,23.74586678N,92.73673248E
Thuniabhand Airport,22.00160027N,78.91719818E
Tikhri Army Heliport,32.89547348N,75.09400177E
Tiruchirapalli international Airport (TRZ/VOTR),10.76607895N,78.71650696E
Tirupati Airport (TIR/VOTP),13.63249969N,79.54329681E
Trivandrum International Airport (TRV/VOTV),8.48333645N,76.9187088E
Tulihal Airport (IMF/VEIM),24.76038933N,93.89777374E
Tumkur Heliport,13.32379913N,76.80702972E
Tuticorin Southwest Airport,8.72292519N,78.02657318E
Udaipur Airport (UDR/VAUD),24.61770058N,73.89610291E
Udhampur AFS (VIUX),32.90219879N,75.15619659E
Ujjain Police Helipad,23.15309525N,75.80857849E
Ulundurpet Airstrip,11.68854904N,79.32137299E
Umaria Air Field,23.53251457N,80.80821991E
Upper Tadong Helipad,27.30671692N,88.59964752E
Utkela Airport (VEUK),20.09740067N,83.18379974E
Uttarlai AFS (VIUT),25.81299973N,71.4822998E
Vadodara Airport (BDQ/VABO),22.33722305N,73.22721863E
Vadsar AFS,23.14517403N,72.48129272E
Vairengte Helipad,24.47891617N,92.75393677E
Varanasi Airport (VNS/VIBN),25.45194435N,82.85972595E
Varanasi Police Helipad,25.3481884N,82.98752594E
Vellore Airport (VOVR),12.90880013N,79.06680298E
Vijay Nagar Airport,19.88409996N,73.84056854E
Vijayawada Airport (VGA/VOBZ),16.53039932N,80.79679871E
Vijaynagar ALG,27.19382858N,97.00275421E
Vir Savarkar Airport (IXZ/VOPB),11.6416626N,92.7300415E
Visakhapatnam Airport (VTZ/VEVZ),17.72120094N,83.22450256E
Walong Advanced Landing Ground,28.129673N,97.01966095E
Warangal Airport (WGC/VOWA),17.9144001N,79.60220337E
Yelahanka AFS (VOYK),13.13549995N,77.60600281E
Zakhama Helipad,25.59746361N,94.12248993E
Ziro Airport (ZER/VEZO),27.5883007N,93.82810211E
